standard_code,requirement_code,description,classification,documentation_required,display_order
AAC.9,AAC.9.c,The programme addresses periodic internal / external peer review of imaging results using appropriate sampling. Achievement,achievement,false,54
AAC.9,AAC.9.d,The programme addresses the clinico-radiological meeting(s).,excellence,false,55
AAC.9,AAC.9.e,The programme includes the documentation of corrective and preventive actions. * Commitment,commitment,false,56
AAC.9,AAC.9.f,The radiation-safety programme is implemented.,commitment,true,57
AAC.9,AAC.9.g,Patients are appropriately screened for safety / risk before imaging.,commitment,false,58
AAC.9,AAC.9.h,Imaging personnel and patients use appropriate radiation- safety and monitoring devices where applicable.,commitment,false,59
AAC.9,AAC.9.i,"Radiation-safety and monitoring devices are periodically tested, and results are documented.",commitment,true,60
AAC.9,AAC.9.j,Imaging and ancillary personnel are trained in imaging safety practices and radiation-safety measures. Commitment,commitment,false,61
AAC.9,AAC.9.k,Imaging signage is prominently displayed in all appropriate locations.,commitment,false,62
AAC.10,AAC.10.a,Placeholder for AAC.10.a (OCR missed it),commitment,false,63
AAC.10,AAC.10.b,Patient care is coordinated in all care settings within the organisation. 63 CORE Commitment Achievement Excellence,commitment,false,64
AAC.10,AAC.10.c,"Information about the patient’s care and response to treatment is shared among medical, nursing and other care providers.",commitment,false,65
AAC.10,AAC.10.d,"The organisation implements standardised hand-over communication during each staffing shift, between shifts and during transfers between units / departments.",core,false,66
AAC.10,AAC.10.e,Patient transfer within the organisation is done safely.,commitment,false,67
AAC.10,AAC.10.f,Referral of patients to other departments / specialities follow written guidance.* Commitment,commitment,false,68
AAC.10,AAC.10.g,The organisation ensures predictable service delivery by adhering to defined timelines and informs the patient / family and / or caregiver whenever there is a change in schedule.,achievement,false,69
AAC.10,AAC.10.h,The organisation has a mechanism in place to monitor whether an adequate clinical intervention has taken place in response to a critical value alert. Excellence,excellence,false,70
AAC.11,AAC.11.a,Written guidance governs the implementation of preventive and promotive care as per the scope of services.* Objective Elements,commitment,false,71
AAC.11,AAC.11.b,Organisation shall define evidenced based and contextual age-appropriate screening for non- communicable diseases.,commitment,false,72
AAC.11,AAC.11.c,Mental health screening and appropriate intervention is advised for patients wherever applicable.,commitment,false,73
AAC.11,AAC.11.d,Evidence based and contextual paediatric and adult immunisation shall be advised wherever applicable. Commitment 64 CORE Commitment Achievement Excellence,commitment,false,74
AAC.11,AAC.11.e,A multi-disciplinary approach is adopted in imparting health education on life-style modifications. Commitment,commitment,false,75
AAC.12,AAC.12.a,Placeholder for AAC.12.a (OCR missed it),commitment,false,76
AAC.12,AAC.12.b,The discharge process is coordinated among various departments and agencies involved (including medico-legal and absconded cases).,commitment,true,77
AAC.12,AAC.12.c,Written guidance governs the discharge of patients leaving against medical advice.,commitment,true,78
AAC.12,AAC.12.d,A discharge summary is given to all the patients leaving the organisation including patients leaving against medical advice. Commitment,commitment,false,79
AAC.12,AAC.12.e,The organisation adheres to planned discharge.,achievement,false,80
AAC.12,AAC.12.f,"The care shall be provided by expanding access to health practices through domiciliary visits, wherever applicable.",achievement,false,81
AAC.12,AAC.12.g,"The organisation monitors the discharge time, sets appropriate benchmarks and makes continual improvement. Commitment",commitment,false,82
AAC.13,AAC.13.a,Placeholder for AAC.13.a (OCR missed it),commitment,false,83
AAC.13,AAC.13.b,Discharge summary has a standardised content. 65 CORE Commitment Achievement Excellence,commitment,false,84
AAC.13,AAC.13.c,"Discharge summary contains follow-up advice, medication and other instructions in an understandable manner.",commitment,false,85
AAC.13,AAC.13.d,Discharge summary incorporates instructions about when and how to obtain urgent care. Commitment,commitment,false,86
AAC.13,AAC.13.e,"In case of death, the summary of the case also includes the cause of death.",commitment,false,87
